ProductID,Name,ProductNumber,Color,ListPrice,StandardCost,ProductCategory,ProductSubcategory
1,Adjustable Race,AR-5381,,0.0,0.0,,
2,Bearing Ball,BA-8327,,0.0,0.0,,
3,BB Ball Bearing,BE-2349,,0.0,0.0,,
4,Headset Ball Bearings,BE-2908,,0.0,0.0,,
316,Blade,BL-2036,,0.0,0.0,,
317,LL Crankarm,CA-5965,Black,0.0,0.0,,
318,ML Crankarm,CA-6738,Black,0.0,0.0,,
319,HL Crankarm,CA-7457,Black,0.0,0.0,,
320,Chainring Bolts,CB-2903,Silver,0.0,0.0,,
321,Chainring Nut,CN-6137,Silver,0.0,0.0,,
322,Chainring,CR-7833,Black,0.0,0.0,,
323,Crown Race,CR-9981,,0.0,0.0,,
324,Chain Stays,CS-2812,,0.0,0.0,,
325,Decal 1,DC-8732,,0.0,0.0,,
326,Decal 2,DC-9824,,0.0,0.0,,
327,Down Tube,DT-2377,,0.0,0.0,,
328,Mountain End Caps,EC-M092,,0.0,0.0,,
329,Road End Caps,EC-R098,,0.0,0.0,,
330,Touring End Caps,EC-T209,,0.0,0.0,,
331,Fork End,FE-3760,,0.0,0.0,,
332,Freewheel,FH-2981,Silver,0.0,0.0,,
341,Flat Washer 1,FW-1000,,0.0,0.0,,
342,Flat Washer 6,FW-1200,,0.0,0.0,,
343,Flat Washer 2,FW-1400,,0.0,0.0,,
344,Flat Washer 9,FW-3400,,0.0,0.0,,
345,Flat Washer 4,FW-3800,,0.0,0.0,,
346,Flat Washer 3,FW-5160,,0.0,0.0,,
347,Flat Washer 8,FW-5800,,0.0,0.0,,
348,Flat Washer 5,FW-7160,,0.0,0.0,,
349,Flat Washer 7,FW-9160,,0.0,0.0,,
350,Fork Crown,FC-3654,,0.0,0.0,,
351,Front Derailleur Cage,FC-3982,Silver,0.0,0.0,,
352,Front Derailleur Linkage,FL-2301,Silver,0.0,0.0,,
355,Guide Pulley,GP-0982,,0.0,0.0,,
356,LL Grip Tape,GT-0820,,0.0,0.0,,
357,ML Grip Tape,GT-1209,,0.0,0.0,,
358,HL Grip Tape,GT-2908,,0.0,0.0,,
359,Thin-Jam Hex Nut 9,HJ-1213,,0.0,0.0,,
360,Thin-Jam Hex Nut 10,HJ-1220,,0.0,0.0,,
361,Thin-Jam Hex Nut 1,HJ-1420,,0.0,0.0,,
362,Thin-Jam Hex Nut 2,HJ-1428,,0.0,0.0,,
363,Thin-Jam Hex Nut 15,HJ-3410,,0.0,0.0,,
364,Thin-Jam Hex Nut 16,HJ-3416,,0.0,0.0,,
365,Thin-Jam Hex Nut 5,HJ-3816,,0.0,0.0,,
366,Thin-Jam Hex Nut 6,HJ-3824,,0.0,0.0,,
367,Thin-Jam Hex Nut 3,HJ-5161,,0.0,0.0,,
368,Thin-Jam Hex Nut 4,HJ-5162,,0.0,0.0,,
369,Thin-Jam Hex Nut 13,HJ-5811,,0.0,0.0,,
370,Thin-Jam Hex Nut 14,HJ-5818,,0.0,0.0,,
371,Thin-Jam Hex Nut 7,HJ-7161,,0.0,0.0,,
372,Thin-Jam Hex Nut 8,HJ-7162,,0.0,0.0,,
373,Thin-Jam Hex Nut 12,HJ-9080,,0.0,0.0,,
374,Thin-Jam Hex Nut 11,HJ-9161,,0.0,0.0,,
375,Hex Nut 5,HN-1024,,0.0,0.0,,
376,Hex Nut 6,HN-1032,,0.0,0.0,,
377,Hex Nut 16,HN-1213,,0.0,0.0,,
378,Hex Nut 17,HN-1220,,0.0,0.0,,
379,Hex Nut 7,HN-1224,,0.0,0.0,,
380,Hex Nut 8,HN-1420,,0.0,0.0,,
